ID,Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Y_Fast,Y_Slow,Y_Okay,Y_Nice,Y_Flat,Y_Dangerous,Y_Hills,Y
711,Street Running,2022-09-19 07:52:43,FALSE,Epsom and Ewell Running,3.78,418,00:39:29,160,215,4.1,164,179,00:10:26,00:08:52,226,221,0.93,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,04:28.62.1,5,0,00:39:27,00:39:29,-6,53,0,1,0,0,0,1,1,Slow Dangerous Hills
710,Street Running,2022-09-16 07:52:38,FALSE,Epsom and Ewell Running,6.98,685,01:10:40,149,219,4.2,165,183,00:10:08,00:08:33,67,68,0.96,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,05:34.13.5,8,0,01:10:24,01:10:40,23,69,0,1,0,0,0,1,1,Slow Dangerous Hills
709,Street Running,2022-09-14 06:36:54,FALSE,Epsom and Ewell Running,3.98,365,00:41:34,142,170,3.4,160,179,00:10:27,00:08:19,27,27,0.95,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,05:31.25.1,5,0,00:41:31,00:41:34,21,51,0,1,0,0,0,0,0,Slow
708,Street Running,2022-09-12 07:07:29,FALSE,Epsom and Ewell Running,4.18,403,00:43:12,145,166,3.4,164,178,00:10:19,00:08:57,49,50,0.94,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,04:03.91.2,5,0,00:43:11,00:43:12,21,52,0,1,0,0,0,1,1,Slow Dangerous Hills
707,Street Running,2022-09-09 07:30:19,FALSE,Epsom and Ewell Running,7.53,741,01:18:09,151,179,4.2,164,244,00:10:22,00:07:19,65,68,0.94,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:40.88.9,9,0,01:18:03,01:40:05,21,70,0,0,1,0,0,0,1,Okay Hills
706,Street Running,2022-09-07 07:10:54,FALSE,Epsom and Ewell Running,3.58,379,00:36:41,155,175,4,163,178,00:10:15,00:08:52,40,43,0.95,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,03:19.48.3,5,0,00:36:39,00:36:41,21,51,0,1,0,0,0,1,1,Slow Dangerous Hills
705,Street Running,2022-09-05 08:35:10,FALSE,Epsom and Ewell Running,3.3,331,00:34:22,145,174,3.2,163,178,00:10:24,00:08:49,35,37,0.94,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:45.31.9,5,0,00:34:21,00:34:22,24,51,0,1,0,0,0,0,0,Slow
704,Street Running,2022-08-24 08:11:57,FALSE,Epsom and Ewell Running,6.58,588,01:10:06,140,164,3.3,161,180,00:10:40,00:08:44,52,56,0.93,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,02:37.55.4,8,0,01:09:58,01:10:06,22,59,0,1,0,0,0,1,1,Slow Dangerous Hills
703,Street Running,2022-08-22 07:41:28,FALSE,Epsom and Ewell Running,6.42,627,01:03:12,151,178,4.5,168,238,00:09:51,00:08:13,50,51,0.97,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,06:01.57.1,7,0,01:03:09,01:03:12,22,52,0,1,0,0,0,1,1,Slow Dangerous Hills
702,Street Running,2022-08-19 07:00:26,FALSE,Epsom and Ewell Running,6.43,666,01:06:35,151,177,4.5,168,182,00:10:21,00:09:01,61,62,0.92,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,04:17.58.7,8,0,01:06:15,01:06:35,21,54,0,1,0,0,0,1,1,Slow Dangerous Hills
701,Street Running,2022-08-17 07:00:47,FALSE,Epsom and Ewell Running,3.89,344,00:38:58,141,163,3.3,163,182,00:10:01,00:08:36,22,22,0.97,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,05:16.38.1,5,0,00:38:57,00:38:58,23,48,0,1,0,0,1,0,0,Slow Flat
700,Street Running,2022-08-15 06:01:59,FALSE,Epsom and Ewell Running,4.6,455,00:49:01,149,174,4,161,180,00:10:40,00:08:59,43,43,0.93,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,01:57.20.8,6,0,00:48:59,00:49:01,21,51,0,1,0,0,0,1,1,Slow Dangerous Hills
699,Street Running,2022-08-12 06:35:14,FALSE,Epsom and Ewell Running,3.53,322,00:37:06,140,176,3.3,161,176,00:10:30,00:09:01,38,41,0.95,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,03:05.94.2,5,0,00:37:03,00:37:06,21,51,0,1,0,0,0,1,1,Slow Dangerous Hills
698,Street Running,2022-08-10 06:33:30,FALSE,Epsom and Ewell Running,3.6,232,00:37:07,121,145,1.9,165,186,00:10:19,00:08:26,40,40,0.94,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,03:31.12.8,5,0,00:37:06,00:37:07,21,51,0,1,0,0,0,1,1,Slow Dangerous Hills
